NDVI,EVI,LST,Rainfall,Air_Temp,Soil_Moisture,Elevation,Soil_Type,forest_loss_risk
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
0.0,0.0,25.0,100.0,25.0,40.0,500.0,1,0.7199999999999999
