Region,Year,Rainfall,Air_Temp,Humidity,Wind_Speed,LST,Soil_Moisture,Elevation,Soil_Type,NDVI,EVI,EarthData_Source,Forest_Loss_HA,Forest_Loss_Risk,Reforestation_Suitability
Khyber Pakhtunkhwa (KP),2021,1019.5099999999993,11.326739726027407,61.87468493150684,2.17,11.326739726027407,30.93734246575342,1000,1,0.204,0.133,Khyber_Pakhtunkhwa__KP__2021.tif,510.1396612762505,1.0,0
Khyber Pakhtunkhwa (KP),2022,996.6500000000001,11.847095890410968,62.956246575342455,2.17,11.847095890410968,31.478123287671227,1000,1,0.164,0.107,Khyber_Pakhtunkhwa__KP__2022.tif,565.7239701625258,1.0,0
Khyber Pakhtunkhwa (KP),2023,992.4600000000004,11.582931506849311,64.92471232876713,2.18,11.582931506849311,32.462356164383564,1000,1,-0.229,-0.149,Khyber_Pakhtunkhwa__KP__2023.tif,308.89469238953427,0.6177893847790685,0
Islamabad Capital Territory & Margalla Region,2021,1920.5399999999988,21.72720547945205,59.40893150684933,4.37,21.72720547945205,29.704465753424664,1000,1,-0.006,-0.004,Islamabad_Capital_Territory___Margalla_Region_2021.tif,543.7387669670321,1.0,0
Islamabad Capital Territory & Margalla Region,2022,1678.0399999999981,22.030465753424654,60.98008219178078,3.26,22.030465753424654,30.49004109589039,1000,1,-0.288,-0.187,Islamabad_Capital_Territory___Margalla_Region_2022.tif,240.05663651804736,0.4801132730360947,0
Islamabad Capital Territory & Margalla Region,2023,1387.4599999999994,21.531041095890412,63.31224657534245,3.36,21.531041095890412,31.656123287671225,1000,1,0.098,0.064,Islamabad_Capital_Territory___Margalla_Region_2023.tif,533.4431248072453,1.0,0
Punjab,2021,305.16,26.80090410958904,38.42232876712327,4.85,26.80090410958904,19.211164383561634,1000,1,0.369,0.24,Punjab_2021.tif,355.6709749425096,0.7113419498850192,0
Punjab,2022,609.3199999999999,26.55561643835616,44.59008219178084,6.3,26.55561643835616,22.29504109589042,1000,1,-0.017,-0.011,Punjab_2022.tif,152.80195277970455,0.3056039055594091,0
Punjab,2023,550.3799999999997,26.038602739726016,44.620301369863014,4.92,26.038602739726016,22.310150684931507,1000,1,-0.144,-0.094,Punjab_2023.tif,163.95422927871272,0.32790845855742545,0
Sindh,2021,214.78,28.77210958904108,37.92810958904111,7.32,28.77210958904108,18.964054794520553,1000,1,0.339,0.203,,544.4043173131943,1.0,0
Sindh,2022,884.98,27.482821917808234,52.259232876712346,6.91,27.482821917808234,26.129616438356173,1000,1,0.473,0.284,,454.5465471749744,0.9090930943499489,0
Sindh,2023,245.67000000000004,28.407205479452077,42.058328767123314,6.24,28.407205479452077,21.029164383561657,1000,1,0.346,0.208,,391.8915078271208,0.7837830156542416,0
Balochistan,2021,85.03000000000002,22.75079452054793,24.84646575342464,6.83,22.75079452054793,12.42323287671232,1000,1,-0.283,-0.184,Balochistan_2021.tif,307.01772519572603,0.614035450391452,0
Balochistan,2022,314.1099999999998,22.701616438356165,34.12109589041098,5.42,22.701616438356165,17.06054794520549,1000,1,-0.482,-0.313,Balochistan_2022.tif,147.02188307828652,0.294043766156573,1
Balochistan,2023,744.4299999999997,23.008438356164373,33.048547945205485,5.03,23.008438356164373,16.524273972602742,1000,1,0.042,0.027,Balochistan_2023.tif,481.9522454054124,0.9639044908108247,0
Gilgit-Baltistan (GB),2021,355.73999999999984,-3.8067397260274,64.15863013698626,2.95,-3.8067397260274,32.07931506849313,1000,1,0.324,0.211,Gilgit_Baltistan__GB__2021.tif,184.91785551756723,0.36983571103513446,0
Gilgit-Baltistan (GB),2022,361.06999999999994,-2.9401369863013715,66.63983561643838,2.64,-2.9401369863013715,33.31991780821919,1000,1,0.147,0.096,Gilgit_Baltistan__GB__2022.tif,498.80988639742,0.9976197727948399,0
Gilgit-Baltistan (GB),2023,378.63999999999993,-2.8378082191780822,64.69586301369864,2.72,-2.8378082191780822,32.34793150684932,1000,1,-0.023,-0.015,Gilgit_Baltistan__GB__2023.tif,356.386500153743,0.712773000307486,0
Azad Jammu & Kashmir (AJK),2021,1511.1699999999987,14.065534246575341,64.08389041095887,2.59,14.065534246575341,32.041945205479436,1000,1,0.124,0.081,Azad_Jammu___Kashmir__AJK__2021.tif,222.0443598104136,0.4440887196208272,0
Azad Jammu & Kashmir (AJK),2022,1367.5399999999986,14.541452054794508,65.07550684931509,2.65,14.541452054794508,32.537753424657545,1000,1,0.074,0.048,Azad_Jammu___Kashmir__AJK__2022.tif,88.6889341139368,0.1773778682278736,0
Azad Jammu & Kashmir (AJK),2023,1315.8899999999992,14.056164383561663,68.05575342465755,2.53,14.056164383561663,34.027876712328776,1000,1,-0.096,-0.062,Azad_Jammu___Kashmir__AJK__2023.tif,373.105831355596,0.7462116627111921,0
Abbottabad,2021,1914.8600000000001,18.892109589041095,59.64295890410956,3.05,18.892109589041095,29.82147945205478,1000,1,0.0,0.0,Abbottabad_2021.tif,555.5219788607692,1.0,0
Abbottabad,2022,1603.629999999999,19.19210958904109,61.42246575342464,3.15,19.19210958904109,30.71123287671232,1000,1,0.085,0.055,Abbottabad_2022.tif,304.29937319677396,0.6085987463935479,0
